Package ID,Address,City,State,Zip,Delivery Deadline,Mass KILO,Special Notes
1,195 W Oakland Ave,Salt Lake City,UT,84115,10:30 AM,21
2,2530 S 500 E,Salt Lake City,UT,84106,EOD,44
3,233 Canyon Rd,Salt Lake City,UT,84103,EOD,2,Can only be on truck 2
4,380 W 2880 S,Salt Lake City,UT,84115,EOD,4
5,410 S State St,Salt Lake City,UT,84111,EOD,5
6,3060 Lester St,West Valley City,UT,84119,10:30 AM,88,Delayed on flight---will not arrive to depot until 9:05 am
7,1330 2100 S,Salt Lake City,UT,84106,EOD,8,None
8,300 State St,Salt Lake City,UT,84103,EOD,9,None
9,300 State St,Salt Lake City,UT,84103,EOD,2,Wrong address listed
10,600 E 900 South,Salt Lake City,UT,84105,EOD,1,None
